year,panel,gram_canonical,total_words,total
2001,1: Interventions,community-based management,30114953,36
2002,1: Interventions,community-based management,29304753,26
2003,1: Interventions,community-based management,30981377,131
2004,1: Interventions,community-based management,31953113,63
2005,1: Interventions,community-based management,34738168,59
2006,1: Interventions,community-based management,36837237,84
2007,1: Interventions,community-based management,36641945,86
2008,1: Interventions,community-based management,39330183,76
2009,1: Interventions,community-based management,40377665,48
2010,1: Interventions,community-based management,38030234,158
2011,1: Interventions,community-based management,39815988,60
2012,1: Interventions,community-based management,22192417,54
2013,1: Interventions,community-based management,23337453,52
2014,1: Interventions,community-based management,11261291,8
1986,1: Interventions,ecotourism,13255908,1
1988,1: Interventions,ecotourism,15573940,1
1989,1: Interventions,ecotourism,15966033,1
1990,1: Interventions,ecotourism,16534942,1
1991,1: Interventions,ecotourism,17585954,13
1992,1: Interventions,ecotourism,18582976,8
1993,1: Interventions,ecotourism,19158560,55
1994,1: Interventions,ecotourism,20273048,38
1995,1: Interventions,ecotourism,21582533,68
1996,1: Interventions,ecotourism,23433482,94
1997,1: Interventions,ecotourism,24142578,56
1998,1: Interventions,ecotourism,26454637,119
1999,1: Interventions,ecotourism,26387547,96
2000,1: Interventions,ecotourism,28146960,97
2001,1: Interventions,ecotourism,30114953,83
2002,1: Interventions,ecotourism,29304753,31
2003,1: Interventions,ecotourism,30981377,65
2004,1: Interventions,ecotourism,31953113,49
2005,1: Interventions,ecotourism,34738168,164
2006,1: Interventions,ecotourism,36837237,100
2007,1: Interventions,ecotourism,36641945,114
2008,1: Interventions,ecotourism,39330183,122
2009,1: Interventions,ecotourism,40377665,151
2010,1: Interventions,ecotourism,38030234,158
2011,1: Interventions,ecotourism,39815988,164
1996,1: Interventions,offsetting,23433482,1
2001,1: Interventions,offsetting,30114953,1
2008,1: Interventions,offsetting,39330183,11
2009,1: Interventions,offsetting,40377665,3
2010,1: Interventions,offsetting,38030234,3
2011,1: Interventions,offsetting,39815988,6
1922,1: Interventions,REDD,1227253,1
1937,1: Interventions,REDD,2976473,1
1938,1: Interventions,REDD,2886297,1
1941,1: Interventions,REDD,2759525,12
1948,1: Interventions,REDD,2631628,1
1951,1: Interventions,REDD,3011208,1
1955,1: Interventions,REDD,3555386,6
1959,1: Interventions,REDD,3621589,1
1961,1: Interventions,REDD,4042372,12
1963,1: Interventions,REDD,4556693,2
1964,1: Interventions,REDD,5158453,2
1965,1: Interventions,REDD,5234257,5
1967,1: Interventions,REDD,6000525,1
1969,1: Interventions,REDD,7381164,1
1971,1: Interventions,REDD,7864657,1
1972,1: Interventions,REDD,7915372,1
1974,1: Interventions,REDD,8556640,1
1975,1: Interventions,REDD,9162777,2
1978,1: Interventions,REDD,10558723,3
1979,1: Interventions,REDD,10786566,1
1984,1: Interventions,REDD,13379542,47
1985,1: Interventions,REDD,14023196,3
1986,1: Interventions,REDD,13255908,28
1987,1: Interventions,REDD,14598709,4
1988,1: Interventions,REDD,15573940,27
1989,1: Interventions,REDD,15966033,2
1990,1: Interventions,REDD,16534942,8
1991,1: Interventions,REDD,17585954,7
1992,1: Interventions,REDD,18582976,3
1993,1: Interventions,REDD,19158560,22
1994,1: Interventions,REDD,20273048,3
1995,1: Interventions,REDD,21582533,25
1996,1: Interventions,REDD,23433482,6
1997,1: Interventions,REDD,24142578,37
1998,1: Interventions,REDD,26454637,113
1999,1: Interventions,REDD,26387547,35
2000,1: Interventions,REDD,28146960,4
2001,1: Interventions,REDD,30114953,52
2002,1: Interventions,REDD,29304753,10
2003,1: Interventions,REDD,30981377,53
2004,1: Interventions,REDD,31953113,28
2005,1: Interventions,REDD,34738168,23
2006,1: Interventions,REDD,36837237,21
2007,1: Interventions,REDD,36641945,34
2008,1: Interventions,REDD,39330183,51
2009,1: Interventions,REDD,40377665,80
2010,1: Interventions,REDD,38030234,369
2011,1: Interventions,REDD,39815988,258
1975,2: Human well-being,food security,9162777,1
1979,2: Human well-being,food security,10786566,3
1980,2: Human well-being,food security,11619305,4
1983,2: Human well-being,food security,12706096,2
1984,2: Human well-being,food security,13379542,4
1985,2: Human well-being,food security,14023196,2
1986,2: Human well-being,food security,13255908,6
1987,2: Human well-being,food security,14598709,10
1988,2: Human well-being,food security,15573940,3
1989,2: Human well-being,food security,15966033,7
1990,2: Human well-being,food security,16534942,17
1991,2: Human well-being,food security,17585954,14
1992,2: Human well-being,food security,18582976,23
1993,2: Human well-being,food security,19158560,23
1994,2: Human well-being,food security,20273048,15
1995,2: Human well-being,food security,21582533,31
1996,2: Human well-being,food security,23433482,29
1997,2: Human well-being,food security,24142578,82
1998,2: Human well-being,food security,26454637,40
1999,2: Human well-being,food security,26387547,51
2000,2: Human well-being,food security,28146960,58
2001,2: Human well-being,food security,30114953,23
2002,2: Human well-being,food security,29304753,64
2003,2: Human well-being,food security,30981377,47
2004,2: Human well-being,food security,31953113,49
2005,2: Human well-being,food security,34738168,265
2006,2: Human well-being,food security,36837237,89
2007,2: Human well-being,food security,36641945,146
2008,2: Human well-being,food security,39330183,198
2009,2: Human well-being,food security,40377665,146
2010,2: Human well-being,food security,38030234,373
2011,2: Human well-being,food security,39815988,220
1921,2: Human well-being,human health,1161623,1
1927,2: Human well-being,human health,1785362,1
1932,2: Human well-being,human health,2400513,1
1935,2: Human well-being,human health,2536260,1
1943,2: Human well-being,human health,2367394,1
1944,2: Human well-being,human health,2209069,2
1951,2: Human well-being,human health,3011208,1
1956,2: Human well-being,human health,3699565,3
1958,2: Human well-being,human health,3814339,1
1960,2: Human well-being,human health,3934513,1
1961,2: Human well-being,human health,4042372,1
1963,2: Human well-being,human health,4556693,3
1964,2: Human well-being,human health,5158453,5
1965,2: Human well-being,human health,5234257,7
1966,2: Human well-being,human health,5493607,8
1967,2: Human well-being,human health,6000525,14
1968,2: Human well-being,human health,6521402,7
1969,2: Human well-being,human health,7381164,13
1970,2: Human well-being,human health,7236804,15
1971,2: Human well-being,human health,7864657,23
1972,2: Human well-being,human health,7915372,26
1973,2: Human well-being,human health,8425604,16
1974,2: Human well-being,human health,8556640,24
1975,2: Human well-being,human health,9162777,28
1976,2: Human well-being,human health,9429413,36
1977,2: Human well-being,human health,10649032,44
1978,2: Human well-being,human health,10558723,52
1979,2: Human well-being,human health,10786566,75
1980,2: Human well-being,human health,11619305,37
1981,2: Human well-being,human health,12165346,35
1982,2: Human well-being,human health,12314218,39
1983,2: Human well-being,human health,12706096,30
1984,2: Human well-being,human health,13379542,35
1985,2: Human well-being,human health,14023196,24
1986,2: Human well-being,human health,13255908,33
1987,2: Human well-being,human health,14598709,26
1988,2: Human well-being,human health,15573940,39
1989,2: Human well-being,human health,15966033,43
1990,2: Human well-being,human health,16534942,21
1991,2: Human well-being,human health,17585954,40
1992,2: Human well-being,human health,18582976,52
1993,2: Human well-being,human health,19158560,39
1994,2: Human well-being,human health,20273048,63
1995,2: Human well-being,human health,21582533,87
1996,2: Human well-being,human health,23433482,87
1997,2: Human well-being,human health,24142578,71
1998,2: Human well-being,human health,26454637,116
1999,2: Human well-being,human health,26387547,96
2000,2: Human well-being,human health,28146960,88
2001,2: Human well-being,human health,30114953,115
2002,2: Human well-being,human health,29304753,152
2003,2: Human well-being,human health,30981377,210
2004,2: Human well-being,human health,31953113,212
2005,2: Human well-being,human health,34738168,230
2006,2: Human well-being,human health,36837237,229
2007,2: Human well-being,human health,36641945,277
2008,2: Human well-being,human health,39330183,288
2009,2: Human well-being,human health,40377665,406
2010,2: Human well-being,human health,38030234,258
2011,2: Human well-being,human health,39815988,373
1952,2: Human well-being,human rights,3139138,1
1969,2: Human well-being,human rights,7381164,4
1970,2: Human well-being,human rights,7236804,1
1971,2: Human well-being,human rights,7864657,2
1972,2: Human well-being,human rights,7915372,1
1973,2: Human well-being,human rights,8425604,7
1974,2: Human well-being,human rights,8556640,16
1975,2: Human well-being,human rights,9162777,1
1976,2: Human well-being,human rights,9429413,16
1977,2: Human well-being,human rights,10649032,5
1978,2: Human well-being,human rights,10558723,4
1980,2: Human well-being,human rights,11619305,1
1981,2: Human well-being,human rights,12165346,1
1982,2: Human well-being,human rights,12314218,32
1983,2: Human well-being,human rights,12706096,9
1984,2: Human well-being,human rights,13379542,3
1985,2: Human well-being,human rights,14023196,3
1986,2: Human well-being,human rights,13255908,5
1987,2: Human well-being,human rights,14598709,2
1988,2: Human well-being,human rights,15573940,2
1989,2: Human well-being,human rights,15966033,1
1990,2: Human well-being,human rights,16534942,2
1991,2: Human well-being,human rights,17585954,8
1992,2: Human well-being,human rights,18582976,5
1993,2: Human well-being,human rights,19158560,6
1994,2: Human well-being,human rights,20273048,4
1995,2: Human well-being,human rights,21582533,83
1996,2: Human well-being,human rights,23433482,9
1997,2: Human well-being,human rights,24142578,11
1998,2: Human well-being,human rights,26454637,11
1999,2: Human well-being,human rights,26387547,9
2000,2: Human well-being,human rights,28146960,19
2001,2: Human well-being,human rights,30114953,5
2002,2: Human well-being,human rights,29304753,11
2003,2: Human well-being,human rights,30981377,20
2004,2: Human well-being,human rights,31953113,10
2005,2: Human well-being,human rights,34738168,16
2006,2: Human well-being,human rights,36837237,18
2007,2: Human well-being,human rights,36641945,26
2008,2: Human well-being,human rights,39330183,17
2009,2: Human well-being,human rights,40377665,36
2010,2: Human well-being,human rights,38030234,21
2011,2: Human well-being,human rights,39815988,42
1948,2: Human well-being,human well-being,2631628,1
1955,2: Human well-being,human well-being,3555386,1
1963,2: Human well-being,human well-being,4556693,1
1964,2: Human well-being,human well-being,5158453,1
1965,2: Human well-being,human well-being,5234257,1
1966,2: Human well-being,human well-being,5493607,1
1972,2: Human well-being,human well-being,7915372,3
1974,2: Human well-being,human well-being,8556640,5
1975,2: Human well-being,human well-being,9162777,8
1976,2: Human well-being,human well-being,9429413,1
1977,2: Human well-being,human well-being,10649032,2
1978,2: Human well-being,human well-being,10558723,4
1980,2: Human well-being,human well-being,11619305,1
1981,2: Human well-being,human well-being,12165346,5
1984,2: Human well-being,human well-being,13379542,1
1988,2: Human well-being,human well-being,15573940,2
1989,2: Human well-being,human well-being,15966033,3
1990,2: Human well-being,human well-being,16534942,3
1991,2: Human well-being,human well-being,17585954,7
1992,2: Human well-being,human well-being,18582976,2
1993,2: Human well-being,human well-being,19158560,5
1994,2: Human well-being,human well-being,20273048,6
1995,2: Human well-being,human well-being,21582533,11
1996,2: Human well-being,human well-being,23433482,19
1997,2: Human well-being,human well-being,24142578,13
1998,2: Human well-being,human well-being,26454637,10
1999,2: Human well-being,human well-being,26387547,12
2000,2: Human well-being,human well-being,28146960,9
2001,2: Human well-being,human well-being,30114953,7
2002,2: Human well-being,human well-being,29304753,7
2003,2: Human well-being,human well-being,30981377,32
2004,2: Human well-being,human well-being,31953113,17
2005,2: Human well-being,human well-being,34738168,79
2006,2: Human well-being,human well-being,36837237,111
2007,2: Human well-being,human well-being,36641945,140
2008,2: Human well-being,human well-being,39330183,186
2009,2: Human well-being,human well-being,40377665,182
2010,2: Human well-being,human well-being,38030234,224
2011,2: Human well-being,human well-being,39815988,278
2012,2: Human well-being,human well-being,22192417,159
2013,2: Human well-being,human well-being,23337453,268
2014,2: Human well-being,human well-being,11261291,100
1985,2: Human well-being,human-wildlife conflict,14023196,1
1994,2: Human well-being,human-wildlife conflict,20273048,1
1995,2: Human well-being,human-wildlife conflict,21582533,2
1996,2: Human well-being,human-wildlife conflict,23433482,1
1997,2: Human well-being,human-wildlife conflict,24142578,6
1998,2: Human well-being,human-wildlife conflict,26454637,11
1999,2: Human well-being,human-wildlife conflict,26387547,19
2000,2: Human well-being,human-wildlife conflict,28146960,4
2001,2: Human well-being,human-wildlife conflict,30114953,9
2002,2: Human well-being,human-wildlife conflict,29304753,5
2003,2: Human well-being,human-wildlife conflict,30981377,30
2004,2: Human well-being,human-wildlife conflict,31953113,25
2005,2: Human well-being,human-wildlife conflict,34738168,21
2006,2: Human well-being,human-wildlife conflict,36837237,47
2007,2: Human well-being,human-wildlife conflict,36641945,27
2008,2: Human well-being,human-wildlife conflict,39330183,58
2009,2: Human well-being,human-wildlife conflict,40377665,71
2010,2: Human well-being,human-wildlife conflict,38030234,44
2011,2: Human well-being,human-wildlife conflict,39815988,54
2012,2: Human well-being,human-wildlife conflict,22192417,50
2013,2: Human well-being,human-wildlife conflict,23337453,35
2014,2: Human well-being,human-wildlife conflict,11261291,25
1920,2: Human well-being,poverty,1238345,4
1921,2: Human well-being,poverty,1161623,7
1922,2: Human well-being,poverty,1227253,4
1923,2: Human well-being,poverty,1410471,3
1924,2: Human well-being,poverty,1420599,6
1925,2: Human well-being,poverty,1665928,12
1926,2: Human well-being,poverty,1904958,9
1927,2: Human well-being,poverty,1785362,9
1928,2: Human well-being,poverty,1938784,14
1929,2: Human well-being,poverty,1953262,7
1930,2: Human well-being,poverty,2111981,5
1931,2: Human well-being,poverty,2434124,8
1932,2: Human well-being,poverty,2400513,7
1933,2: Human well-being,poverty,2136969,46
1934,2: Human well-being,poverty,2445175,13
1935,2: Human well-being,poverty,2536260,10
1936,2: Human well-being,poverty,2751507,11
1937,2: Human well-being,poverty,2976473,14
1938,2: Human well-being,poverty,2886297,15
1939,2: Human well-being,poverty,2840157,16
1940,2: Human well-being,poverty,3000307,9
1941,2: Human well-being,poverty,2759525,14
1942,2: Human well-being,poverty,2730695,5
1943,2: Human well-being,poverty,2367394,8
1944,2: Human well-being,poverty,2209069,13
1945,2: Human well-being,poverty,2185186,10
1946,2: Human well-being,poverty,2461581,10
1947,2: Human well-being,poverty,2615111,13
1948,2: Human well-being,poverty,2631628,7
1949,2: Human well-being,poverty,2804409,19
1950,2: Human well-being,poverty,3153253,7
1951,2: Human well-being,poverty,3011208,10
1952,2: Human well-being,poverty,3139138,8
1953,2: Human well-being,poverty,3184772,3
1954,2: Human well-being,poverty,3649078,8
1955,2: Human well-being,poverty,3555386,5
1956,2: Human well-being,poverty,3699565,7
1957,2: Human well-being,poverty,3689751,13
1958,2: Human well-being,poverty,3814339,10
1959,2: Human well-being,poverty,3621589,13
1960,2: Human well-being,poverty,3934513,11
1961,2: Human well-being,poverty,4042372,7
1962,2: Human well-being,poverty,4017454,7
1963,2: Human well-being,poverty,4556693,11
1964,2: Human well-being,poverty,5158453,10
1965,2: Human well-being,poverty,5234257,10
1966,2: Human well-being,poverty,5493607,24
1967,2: Human well-being,poverty,6000525,14
1968,2: Human well-being,poverty,6521402,10
1969,2: Human well-being,poverty,7381164,31
1970,2: Human well-being,poverty,7236804,35
1971,2: Human well-being,poverty,7864657,11
1972,2: Human well-being,poverty,7915372,16
1973,2: Human well-being,poverty,8425604,15
1974,2: Human well-being,poverty,8556640,32
1975,2: Human well-being,poverty,9162777,40
1976,2: Human well-being,poverty,9429413,57
1977,2: Human well-being,poverty,10649032,53
1978,2: Human well-being,poverty,10558723,15
1979,2: Human well-being,poverty,10786566,68
1980,2: Human well-being,poverty,11619305,54
1981,2: Human well-being,poverty,12165346,26
1982,2: Human well-being,poverty,12314218,42
1983,2: Human well-being,poverty,12706096,35
1984,2: Human well-being,poverty,13379542,69
1985,2: Human well-being,poverty,14023196,76
1986,2: Human well-being,poverty,13255908,36
1987,2: Human well-being,poverty,14598709,51
1988,2: Human well-being,poverty,15573940,77
1989,2: Human well-being,poverty,15966033,46
1990,2: Human well-being,poverty,16534942,33
1991,2: Human well-being,poverty,17585954,72
1992,2: Human well-being,poverty,18582976,126
1993,2: Human well-being,poverty,19158560,160
1994,2: Human well-being,poverty,20273048,117
1995,2: Human well-being,poverty,21582533,118
1996,2: Human well-being,poverty,23433482,109
1997,2: Human well-being,poverty,24142578,121
1998,2: Human well-being,poverty,26454637,114
1999,2: Human well-being,poverty,26387547,129
2000,2: Human well-being,poverty,28146960,105
2001,2: Human well-being,poverty,30114953,152
2002,2: Human well-being,poverty,29304753,185
2003,2: Human well-being,poverty,30981377,193
2004,2: Human well-being,poverty,31953113,217
2005,2: Human well-being,poverty,34738168,357
2006,2: Human well-being,poverty,36837237,268
2007,2: Human well-being,poverty,36641945,392
2008,2: Human well-being,poverty,39330183,561
2009,2: Human well-being,poverty,40377665,620
2010,2: Human well-being,poverty,38030234,632
2011,2: Human well-being,poverty,39815988,632
1922,3: Methods,ethnography,1227253,1
1946,3: Methods,ethnography,2461581,13
1953,3: Methods,ethnography,3184772,1
1956,3: Methods,ethnography,3699565,1
1960,3: Methods,ethnography,3934513,5
1970,3: Methods,ethnography,7236804,2
1972,3: Methods,ethnography,7915372,3
1973,3: Methods,ethnography,8425604,1
1974,3: Methods,ethnography,8556640,1
1976,3: Methods,ethnography,9429413,6
1977,3: Methods,ethnography,10649032,7
1978,3: Methods,ethnography,10558723,9
1979,3: Methods,ethnography,10786566,1
1980,3: Methods,ethnography,11619305,2
1981,3: Methods,ethnography,12165346,2
1982,3: Methods,ethnography,12314218,3
1983,3: Methods,ethnography,12706096,4
1984,3: Methods,ethnography,13379542,5
1985,3: Methods,ethnography,14023196,4
1986,3: Methods,ethnography,13255908,1
1987,3: Methods,ethnography,14598709,7
1988,3: Methods,ethnography,15573940,7
1989,3: Methods,ethnography,15966033,5
1990,3: Methods,ethnography,16534942,7
1991,3: Methods,ethnography,17585954,6
1992,3: Methods,ethnography,18582976,6
1993,3: Methods,ethnography,19158560,4
1994,3: Methods,ethnography,20273048,8
1995,3: Methods,ethnography,21582533,4
1996,3: Methods,ethnography,23433482,2
1997,3: Methods,ethnography,24142578,5
1998,3: Methods,ethnography,26454637,5
1999,3: Methods,ethnography,26387547,11
2000,3: Methods,ethnography,28146960,4
2001,3: Methods,ethnography,30114953,6
2002,3: Methods,ethnography,29304753,19
2003,3: Methods,ethnography,30981377,12
2004,3: Methods,ethnography,31953113,15
2005,3: Methods,ethnography,34738168,21
2006,3: Methods,ethnography,36837237,8
2007,3: Methods,ethnography,36641945,21
2008,3: Methods,ethnography,39330183,14
2009,3: Methods,ethnography,40377665,16
2010,3: Methods,ethnography,38030234,14
2011,3: Methods,ethnography,39815988,31
1960,3: Methods,focus group,3934513,1
1993,3: Methods,focus group,19158560,3
1994,3: Methods,focus group,20273048,9
1995,3: Methods,focus group,21582533,42
1996,3: Methods,focus group,23433482,2
1997,3: Methods,focus group,24142578,21
1998,3: Methods,focus group,26454637,12
1999,3: Methods,focus group,26387547,11
2000,3: Methods,focus group,28146960,69
2001,3: Methods,focus group,30114953,13
2002,3: Methods,focus group,29304753,25
2003,3: Methods,focus group,30981377,18
2004,3: Methods,focus group,31953113,18
2005,3: Methods,focus group,34738168,57
2006,3: Methods,focus group,36837237,26
2007,3: Methods,focus group,36641945,32
2008,3: Methods,focus group,39330183,64
2009,3: Methods,focus group,40377665,23
2010,3: Methods,focus group,38030234,62
2011,3: Methods,focus group,39815988,55
1921,3: Methods,interview,1161623,2
1925,3: Methods,interview,1665928,1
1926,3: Methods,interview,1904958,1
1927,3: Methods,interview,1785362,1
1928,3: Methods,interview,1938784,1
1930,3: Methods,interview,2111981,3
1933,3: Methods,interview,2136969,1
1938,3: Methods,interview,2886297,4
1940,3: Methods,interview,3000307,4
1941,3: Methods,interview,2759525,7
1944,3: Methods,interview,2209069,3
1945,3: Methods,interview,2185186,1
1946,3: Methods,interview,2461581,1
1947,3: Methods,interview,2615111,4
1948,3: Methods,interview,2631628,5
1949,3: Methods,interview,2804409,11
1951,3: Methods,interview,3011208,1
1952,3: Methods,interview,3139138,19
1953,3: Methods,interview,3184772,2
1954,3: Methods,interview,3649078,1
1955,3: Methods,interview,3555386,8
1956,3: Methods,interview,3699565,12
1957,3: Methods,interview,3689751,15
1958,3: Methods,interview,3814339,26
1959,3: Methods,interview,3621589,23
1960,3: Methods,interview,3934513,18
1961,3: Methods,interview,4042372,8
1962,3: Methods,interview,4017454,57
1963,3: Methods,interview,4556693,36
1964,3: Methods,interview,5158453,22
1965,3: Methods,interview,5234257,9
1966,3: Methods,interview,5493607,6
1967,3: Methods,interview,6000525,16
1968,3: Methods,interview,6521402,7
1969,3: Methods,interview,7381164,8
1970,3: Methods,interview,7236804,7
1971,3: Methods,interview,7864657,13
1972,3: Methods,interview,7915372,29
1973,3: Methods,interview,8425604,33
1974,3: Methods,interview,8556640,15
1975,3: Methods,interview,9162777,13
1976,3: Methods,interview,9429413,18
1977,3: Methods,interview,10649032,15
1978,3: Methods,interview,10558723,51
1979,3: Methods,interview,10786566,24
1980,3: Methods,interview,11619305,38
1981,3: Methods,interview,12165346,38
1982,3: Methods,interview,12314218,33
1983,3: Methods,interview,12706096,39
1984,3: Methods,interview,13379542,59
1985,3: Methods,interview,14023196,36
1986,3: Methods,interview,13255908,49
1987,3: Methods,interview,14598709,40
1988,3: Methods,interview,15573940,40
1989,3: Methods,interview,15966033,63
1990,3: Methods,interview,16534942,74
1991,3: Methods,interview,17585954,78
1992,3: Methods,interview,18582976,97
1993,3: Methods,interview,19158560,118
1994,3: Methods,interview,20273048,148
1995,3: Methods,interview,21582533,195
1996,3: Methods,interview,23433482,176
1997,3: Methods,interview,24142578,166
1998,3: Methods,interview,26454637,209
1999,3: Methods,interview,26387547,223
2000,3: Methods,interview,28146960,263
2001,3: Methods,interview,30114953,253
2002,3: Methods,interview,29304753,285
2003,3: Methods,interview,30981377,376
2004,3: Methods,interview,31953113,261
2005,3: Methods,interview,34738168,417
2006,3: Methods,interview,36837237,397
2007,3: Methods,interview,36641945,574
2008,3: Methods,interview,39330183,779
2009,3: Methods,interview,40377665,601
2010,3: Methods,interview,38030234,792
2011,3: Methods,interview,39815988,806
1966,3: Methods,participant observation,5493607,1
1974,3: Methods,participant observation,8556640,1
1977,3: Methods,participant observation,10649032,2
1978,3: Methods,participant observation,10558723,2
1981,3: Methods,participant observation,12165346,1
1982,3: Methods,participant observation,12314218,1
1983,3: Methods,participant observation,12706096,2
1986,3: Methods,participant observation,13255908,1
1988,3: Methods,participant observation,15573940,1
1989,3: Methods,participant observation,15966033,1
1990,3: Methods,participant observation,16534942,1
1991,3: Methods,participant observation,17585954,2
1994,3: Methods,participant observation,20273048,4
1995,3: Methods,participant observation,21582533,2
1996,3: Methods,participant observation,23433482,5
1997,3: Methods,participant observation,24142578,5
1998,3: Methods,participant observation,26454637,12
1999,3: Methods,participant observation,26387547,11
2000,3: Methods,participant observation,28146960,7
2001,3: Methods,participant observation,30114953,9
2002,3: Methods,participant observation,29304753,1
2003,3: Methods,participant observation,30981377,14
2004,3: Methods,participant observation,31953113,5
2005,3: Methods,participant observation,34738168,9
2006,3: Methods,participant observation,36837237,9
2007,3: Methods,participant observation,36641945,10
2008,3: Methods,participant observation,39330183,43
2009,3: Methods,participant observation,40377665,31
2010,3: Methods,participant observation,38030234,21
2011,3: Methods,participant observation,39815988,54
1923,3: Methods,questionnaire,1410471,6
1927,3: Methods,questionnaire,1785362,2
1928,3: Methods,questionnaire,1938784,1
1929,3: Methods,questionnaire,1953262,3
1930,3: Methods,questionnaire,2111981,2
1932,3: Methods,questionnaire,2400513,5
1934,3: Methods,questionnaire,2445175,3
1935,3: Methods,questionnaire,2536260,2
1937,3: Methods,questionnaire,2976473,9
1938,3: Methods,questionnaire,2886297,15
1939,3: Methods,questionnaire,2840157,32
1940,3: Methods,questionnaire,3000307,19
1941,3: Methods,questionnaire,2759525,11
1942,3: Methods,questionnaire,2730695,10
1943,3: Methods,questionnaire,2367394,12
