show, panel, gram, gram_canonical
yes,  p-hack, null hypothesis, null hypothesis
yes,  p-hack, alternative hypothesis, alternative hypothesis
yes,  p-hack, power analysis, power analysis
yes,  p-hack, p value, p value
yes,  p-hack, pvalue, p value
no,  p-hack, significant, significant
yes,  p-hack, significant difference, significant difference
yes,  p-hack, significant differences, significant difference
yes,  hypotheses, null hypothesis, null hypothesis
yes,  hypotheses, alternative hypothesis, alternative hypothesis
yes,  hypotheses, alternative hypothesis, alternative hypothesis
yes,  multilevel, hierarchical model, hierarchical model
yes,  multilevel, mixed effect model, mixed-effects model
yes,  multilevel, mixed effects model, mixed-effects model
yes,  multilevel, multi level model, multilevel model
yes,  multilevel, multilevel model, multilevel model
yes,  multilevel, random effects model, random-effects model
yes,  multilevel, random effect model, random-effects model
yes,  effects, fixed effects, fixed effects
yes,  effects, random effects, random effects
yes,  models, linear regression, linear regression
yes,  models, GAM, GAM
yes,  models, generalized additive model, GAM
yes,  models, GLM, GLM
yes,  models, generalized linear model, GLM
yes,  alphabet soup, AIC, AIC
yes,  alphabet soup, BIC, BIC
yes,  alphabet soup, DIC, DIC
yes,  model selection, information theoretic, information theoretic
yes,  model selection, model averaging, model averaging
yes,  model selection, model selection, model selection
no,  model selection, multiple models, multiple models
yes,  model selection, model comparison, model comparison
yes,  quantifying uncertainty, maximum likelihood, maximum likelihood
yes,  quantifying uncertainty, bootstrap, bootstrap
yes,  quantifying uncertainty, jackknife, jackknife
yes,  quantifying uncertainty, jack knife, jackknife
yes,  quantifying uncertainty, jacknife, jackknife
yes,  quantifying uncertainty, bayesian, bayesian
yes,  jackknife spelling, jackknife, jackknife
yes,  jackknife spelling, jack knife, jackknife
yes,  jackknife spelling, jacknife, jacknife
yes,  correlation-causation, correlation, correlation/correlated
yes,  correlation-causation, correlated, correlation/correlated
yes,  correlation-causation, causation, causation/causal
yes,  correlation-causation, causal, causation/causal
